Date,Arrivals to Greek Islands,Departures to mainland Greece,Arrivals to fYRoM,Arrivals to Serbia,Arrivals to Croatia,Arrivals to Hungary,Arrivals to Slovenia,Arrivals to Austria
2015-01-10,2631,2409,4370,5900,4344,3667,0,4550
2015-02-10,4055,1215,5853,3700,5546,4897,0,2700
2015-03-10,6097,4480,4202,3700,6086,6056,,7100
2015-04-10,4763,1513,5181,4250,5065,5925,0,5800
2015-05-10,5909,7833,4282,3250,6338,5952,0,6100
2015-06-10,6496,6707,4156,2650,6370,6000,,5800
2015-07-10,3734,4886,7816,4350,4446,6103,0,5861
2015-08-10,4295,5349,7663,4650,7798,4583,6,4229
2015-09-10,5695,2631,6107,6550,8201,7215,0,6700
2015-10-10,4045,2214,4922,4850,7896,7907,,5050
2015-11-10,4034,4950,5448,5950,5732,7897,,8540
2015-12-10,4671,5879,5645,6556,7317,8702,0,8240
2015-10-13,6079,4052,4551,5330,5286,7081,0,5280
2015-10-14,6380,4564,5073,5280,4814,5157,0,7000
2015-10-15,6830,3660,5373,5850,5138,4808,0,5235
2015-10-16,8564,6743,6181,5700,5260,6353,0,6500
2015-10-17,9063,4239,4988,5250,6415,870,3000,5155
2015-10-18,8900,5457,10005,10150,4390,41,2700,1822
2015-10-19,8337,4119,4299,4850,4388,22,7677,4300
2015-10-20,10006,8083,4584,4650,6793,36,7478,6017
2015-10-21,9444,9725,8384,6850,7900,39,12616,4737
2015-10-22,7651,6896,9174,8750,6748,32,9339,3767
2015-10-23,5762,6120,9840,8750,8348,29,9500,4092
2015-10-24,5354,6195,7752,9000,11570,35,9925,5841
2015-10-25,4311,8916,7864,8700,10249,34,9818,7882
2015-10-26,5049,2804,5500,5100,8128,12,8625,10784
2015-10-27,6195,4540,6146,6257,5683,7,6877,9390
2015-10-28,6557,7191,5000,5415,6900,4,9848,8336
2015-10-29,8847,8117,7231,6700,6615,23,5341,8473
2015-10-30,9323,6649,7663,7138,7429,18,5409,8302
2015-10-31,8089,6537,7590,9834,7110,10,6344,7691
2015-01-11,4400,7360,8584,8354,8534,14,7611,7887
2015-02-11,3290,1935,8075,8521,8746,31,8568,8243
2015-03-11,4689,0,6682,6129,5573,8,5591,6900
2015-04-11,5740,142,6532,4073,7792,10,7693,9930
2015-05-11,6679,1430,960,1652,5587,18,5426,7478
2015-06-11,6765,8392,1987,1906,2809,4,6655,7315
2015-07-11,6022,12116,6847,5397,2000,8,1716,4648
2015-08-11,4425,6902,9148,7695,6579,9,4381,3465
2015-09-11,3979,8977,11572,9785,6214,25,5341,5962
2015-10-11,4842,6133,9305,9107,7474,14,7457,6933
2015-11-11,4296,7354,7651,8648,8524,13,7554,8169
2015-12-11,3425,3650,8038,7500,9823,23,9681,8777
2015-11-13,4909,4820,6826,7464,6314,6,7397,6351
