Date,Arrivals to Italy,Arrivals to Greek Islands,Departures to mainland Greece,Arrivals to fYRoM,Arrivals to Serbia,Arrivals to Croatia,Arrivals to Hungary,Arrivals to Slovenia,Arrivals to Austria
01-10-2015,343,"2,631","2,409","4,370","5,900","4,344","3,667",0,"4,550"
02-10-2015,0,"4,055","1,215","5,853","3,700","5,546","4,897",0,"2,700"
03-10-2015,128,"6,097","4,480","4,202","3,700","6,086","6,056",N/A,"7,100"
04-10-2015,62,"4,763","1,513","5,181","4,250","5,065","5,925",0,"5,800"
05-10-2015,0,"5,909","7,833","4,282","3,250","6,338","5,952",0,"6,100"
06-10-2015,"2,001","6,496","6,707","4,156","2,650","6,370","6,000",N/A,"5,800"
07-10-2015,"1,010","3,734","4,886","7,816","4,350","4,446","6,103",0,"5,861"
08-10-2015,0,"4,295","5,349","7,663","4,650","7,798","4,583",6,"4,229"
09-10-2015,572,"5,695","2,631","6,107","6,550","8,201","7,215",0,"6,700"
10-10-2015,134,"4,045","2,214","4,922","4,850","7,896","7,907",N/A,"5,050"
11-10-2015,237,"4,034","4,950","5,448","5,950","5,732","7,897",N/A,"8,540"
12-10-2015,698,"4,671","5,879","5,645","6,556","7,317","8,702",0,"8,240"
13-10-2015,0,"6,079","4,052","4,551","5,330","5,286","7,081",0,"5,280"
14-10-2015,207,"6,380","4,564","5,073","5,280","4,814","5,157",0,"7,000"
15-10-2015,0,"6,830","3,660","5,373","5,850","5,138","4,808",0,"5,235"
16-10-2015,102,"8,564","6,743","6,181","5,700","5,260","6,353",0,"6,500"
17-10-2015,0,"9,063","4,239","4,988","5,250","6,415",870,"3,000","5,155"
18-10-2015,0,"8,900","5,457","10,005","10,150","4,390",41,"2,700","1,822"
19-10-2015,125,"8,337","4,119","4,299","4,850","4,388",22,"7,677","4,300"
20-10-2015,979,"10,006","8,083","4,584","4,650","6,793",36,"7,478","6,017"
21-10-2015,219,"9,444","9,725","8,384","6,850","7,900",39,"12,616","4,737"
22-10-2015,76,"7,651","6,896","9,174","8,750","6,748",32,"9,339","3,767"
23-10-2015,0,"5,762","6,120","9,840","8,750","8,348",29,"9,500","4,092"
24-10-2015,0,"5,354","6,195","7,752","9,000","11,570",35,"9,925","5,841"
25-10-2015,0,"4,311","8,916","7,864","8,700","10,249",34,"9,818","7,882"
26-10-2015,0,"5,049","2,804","5,500","5,100","8,128",12,"8,625","10,784"
27-10-2015,224,"6,195","4,540","6,146","6,257","5,683",7,"6,877","9,390"
28-10-2015,218,"6,557","7,191","5,000","5,415","6,900",4,"9,848","8,336"
29-10-2015,0,"8,847","8,117","7,231","6,700","6,615",23,"5,341","8,473"
30-10-2015,823,"9,323","6,649","7,663","7,138","7,429",18,"5,409","8,302"
31-10-2015,0,"8,089","6,537","7,590","9,834","7,110",10,"6,344","7,691"
01-11-2015,0,"4,400","7,360","8,584","8,354","8,534",14,"7,611","7,887"
02-11-2015,0,"3,290","1,935","8,075","8,521","8,746",31,"8,568","8,243"
03-11-2015,0,"4,689",0,"6,682","6,129","5,573",8,"5,591","6,900"
04-11-2015,0,"5,740",142,"6,532","4,073","7,792",10,"7,693","9,930"
05-11-2015,526,"6,679","1,430",960,"1,652","5,587",18,"5,426","7,478"
06-11-2015,920,"6,765","8,392","1,987","1,906","2,809",4,"6,655","7,315"
07-11-2015,0,"6,022","12,116","6,847","5,397","2,000",8,"1,716","4,648"
08-11-2015,9,"4,425","6,902","9,148","7,695","6,579",9,"4,381","3,465"
09-11-2015,6,"3,979","8,977","11,572","9,785","6,214",25,"5,341","5,962"
10-11-2015,0,"4,842","6,133","9,305","9,107","7,474",14,"7,457","6,933"
11-11-2015,24,"4,296","7,354","7,651","8,648","8,524",13,"7,554","8,169"
12-11-2015,16,"3,425","3,650","8,038","7,500","9,823",23,"9,681","8,777"
13-11-2015,2,"4,909","4,820","6,826","7,464","6,314",6,"7,397","6,351"
14-11-2015,"1,014","4,884","4,171","4,107","4,453","8,405",21,"7,905","7,659"
15-11-2015,0,"4,891","4,497","7,511","7,734","8,415",8,"7,300","7,632"
